,Actual,Predicted
211,51.0,51.00000000000001
134,54.0,54.00000000000001
89,50.0,50.0
38,42.0,42.00000000000001
27,51.0,51.0
222,57.0,57.000000000000014
87,59.0,59.0
77,39.0,39.000000000000014
43,54.31889763779528,54.3188976377953
12,44.0,44.00000000000001
34,54.31889763779528,54.31889763779528
161,62.0,62.00000000000001
83,41.0,41.00000000000001
217,51.0,51.000000000000014
129,60.0,60.000000000000014
165,64.0,63.99999999999999
186,56.0,56.0
42,44.0,44.00000000000001
251,44.0,44.000000000000014
131,66.0,66.00000000000001
107,60.0,60.0
50,42.0,41.99999999999999
19,40.0,40.00000000000002
195,55.0,55.000000000000014
233,52.0,52.00000000000001
3,64.0,63.99999999999999
259,43.0,43.00000000000001
29,71.0,71.00000000000001
209,37.0,37.00000000000001
35,48.0,48.0
166,50.0,50.00000000000001
220,54.0,54.00000000000001
126,62.0,61.99999999999999
265,52.0,52.00000000000001
54,45.0,45.000000000000014
70,61.0,61.0
155,46.0,46.00000000000002
109,45.0,45.00000000000002
133,64.0,63.99999999999999
255,54.31889763779528,54.31889763779529
164,43.0,43.000000000000014
31,66.0,66.00000000000001
106,51.0,51.00000000000001
235,62.0,62.00000000000001
76,45.0,45.00000000000001
148,58.0,58.00000000000001
237,43.0,43.00000000000001
174,34.0,34.00000000000002
192,54.0,54.00000000000001
180,42.0,42.00000000000001
229,52.0,52.00000000000002
39,48.0,48.00000000000001
139,57.0,57.000000000000014
56,61.0,61.00000000000001
183,42.0,42.0
151,50.0,50.000000000000014
172,67.0,67.0
82,58.0,57.99999999999999
108,59.0,59.000000000000014
84,57.0,57.0
122,57.0,56.999999999999986
231,39.0,39.00000000000001
98,64.0,63.99999999999999
248,60.0,60.000000000000014
178,67.0,67.00000000000001
200,68.0,68.00000000000001
33,59.0,58.999999999999986
216,63.0,63.00000000000001
1,67.0,66.99999999999999
145,54.31889763779528,54.318897637795274
121,54.31889763779528,54.318897637795274
206,60.0,60.000000000000014
141,54.31889763779528,54.31889763779528
146,52.0,52.000000000000014
152,54.0,54.00000000000001
157,45.0,45.00000000000001
125,54.0,54.00000000000001
210,54.31889763779528,54.31889763779529
244,51.0,50.99999999999999
17,53.0,53.00000000000001
46,49.0,49.000000000000014
93,54.0,54.0
264,48.0,48.00000000000002
37,59.0,59.0
100,44.0,44.00000000000001
179,50.0,50.000000000000014
114,42.0,42.000000000000014
135,46.0,46.000000000000014
8,60.0,60.0
138,34.0,34.00000000000002
116,46.0,46.0
207,58.0,58.00000000000001
261,60.0,60.00000000000001
252,44.0,44.00000000000001
44,59.0,59.00000000000001
49,65.0,65.0
10,59.0,59.00000000000001
136,67.0,67.00000000000001
194,48.0,48.00000000000001
254,59.0,59.00000000000001
51,52.0,52.00000000000002
99,50.0,50.000000000000014
143,51.0,51.000000000000014
53,63.0,63.000000000000014
221,65.0,65.0
188,62.0,62.00000000000001
167,53.0,53.00000000000001
86,62.0,62.000000000000014
